scene_id,task_dir,component,candidate,parameters,roi_mode,roi_sample_range,roi_trace_range,mae,mse,rmse,psnr,ssim,roi_energy_retention,outside_roi_residual_energy,cnr_proxy,cnr_gain_vs_baseline,selected,status,warnings
2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,Ey,svd_rank_2,"{""remove_rank"": 2}",auto_proxy,"[727, 1559]","[27, 54]",0.001132145174778998,1.3266710993775632e-05,0.0036423496528718425,21.05315720140852,0.5443614385860399,1.010881448943868,1.526975756860338e-05,-0.08902879115318088,0.2331673835550012,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,Ey,svd_rank_3,"{""remove_rank"": 3}",auto_proxy,"[727, 1559]","[27, 54]",0.001320035313256085,1.8860715499613434e-05,0.004342892526832023,19.52520824476265,0.19821929534744778,0.6973655636461572,2.1720306904171593e-05,0.13205631356522024,0.4542524882734023,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,Ey,svd_rank_5,"{""remove_rank"": 5}",auto_proxy,"[727, 1559]","[27, 54]",0.0013807198265567422,2.0298313756939024e-05,0.004505364997082814,19.20619027334656,0.08095835463756804,0.11456408519550729,2.3136535673984326e-05,0.5668654761129602,0.8890616508211423,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,Ey,svd_rank_10,"{""remove_rank"": 10}",auto_proxy,"[727, 1559]","[27, 54]",0.0013947119005024433,2.042997039097827e-05,0.0045199524766282966,19.178112513615073,0.06942842322087286,0.0005881484696221456,2.3218211936182342e-05,0.207149874923082,0.5293460496312641,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,Ey,svd_rank_8,"{""remove_rank"": 8}",auto_proxy,"[727, 1559]","[27, 54]",0.0013951539294794202,2.042550840997137e-05,0.004519458862515663,19.179061132402193,0.0698199219314191,0.004840771333187784,2.3214997781906277e-05,0.45715741801649523,0.7793535927246773,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_190137_010_scene_gssi1500_single_cylinder_air_sand_cdca_818b6d,Ey,baseline,{},auto_proxy,"[727, 1559]","[27, 54]",0.26302430033683777,0.6792008876800537,0.8241364496732648,15.641040296389795,0.03160235062693933,340.258995540285,0.7851277589797974,-0.32219617470818207,0.0,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_195850_659_scene_gssi1500_single_cylinder_air_sand_cdca_b3c39c,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_195850_659_scene_gssi1500_single_cylinder_air_sand_cdca_b3c39c,Ey,median_background,"{""mode"": ""global_median""}",auto_proxy,"[727, 1559]","[27, 54]",1.2742371836793609e-05,1.533832949540681e-09,3.9164179418707105e-05,56.13102592245602,0.9997124156745312,0.9987983527361844,1.2443065466882786e-09,0.9471138649234915,1.269271764414275,True,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_195850_659_scene_gssi1500_single_cylinder_air_sand_cdca_b3c39c,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_195850_659_scene_gssi1500_single_cylinder_air_sand_cdca_b3c39c,Ey,mean_background,"{""mode"": ""global_mean""}",auto_proxy,"[727, 1559]","[27, 54]",0.00029293104307726026,5.286614737087802e-07,0.0007270911041326116,30.75664297036333,0.9514522858847958,0.8305487369354854,5.036316679252195e-07,0.792764067833004,1.1149219673237876,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_195850_659_scene_gssi1500_single_cylinder_air_sand_cdca_b3c39c,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_195850_659_scene_gssi1500_single_cylinder_air_sand_cdca_b3c39c,Ey,svd_rank_1,"{""remove_rank"": 1}",auto_proxy,"[727, 1559]","[27, 54]",0.00029944360721856356,5.306147841110942e-07,0.0007284331020149306,30.740626130857514,0.9512644667945144,0.8301454766803193,5.058950591774192e-07,0.7880754609117802,1.1102333604025638,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_195850_659_scene_gssi1500_single_cylinder_air_sand_cdca_b3c39c,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_195850_659_scene_gssi1500_single_cylinder_air_sand_cdca_b3c39c,Ey,svd_rank_2,"{""remove_rank"": 2}",auto_proxy,"[727, 1559]","[27, 54]",0.00046221553930081427,3.81934478355106e-06,0.0019543144024314666,22.16853094122822,0.4972879164355925,0.2705979377910055,2.0996515104343416e-06,0.8009194750063554,1.123077374497139,False,ok,"[""roi_mode=auto_proxy""]"
